"account_status","loan_duration_mths","credit_history","loan_purpose","credit_amount","savings","employment_duration","installment_rate","marital_status","other_debtors","residence_since","property","age_yrs","other_installment_plans","housing","existing_credits","occupation","people_liable","telephone","foreign_worker","target","target_bad"
"< 0 DM",12,"Existing credits paid back duly till now","Radio / television",1680,"500 to < 1000 DM",">= 7 years","20% to < 25%","Male married/widowed","None","< 1 year","Real estate",35,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",48,"Critical account / other credits existing","Radio / television",3578,"Unknown / no savings account",">= 7 years","< 20%","Male single","None","< 1 year","Real estate",47,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"< 0 DM",42,"Existing credits paid back duly till now","Radio / television",7174,"Unknown / no savings account","4 to < 7 years","< 20%","Female divorced/separated/married","None","4 to < 7 years","Car or other property",30,"None","Own","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Bad",1
"< 0 DM",10,"Critical account / other credits existing","Furniture / equipment",2132,"Unknown / no savings account","< 1 year","25% to < 35%","Female divorced/separated/married","Co-applicant","4 to < 7 years","Real estate",27,"None","Rent","2 to 3","Skilled employee / official","0 to 2","None","No","Good",0
"< 0 DM",33,"Critical account / other credits existing","Furniture / equipment",4281,"500 to < 1000 DM","1 to < 4 years",">= 35% of disposable income","Female divorced/separated/married","None",">= 7 years","Car or other property",23,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Bad",1
"0 to < 200 DM",12,"Critical account / other credits existing","Car (new)",2366,"500 to < 1000 DM","4 to < 7 years","20% to < 25%","Male divorced/separated","None","4 to < 7 years","Car or other property",36,"None","Own","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
"< 0 DM",21,"Existing credits paid back duly till now","Radio / television",1835,"< 100 DM","1 to < 4 years","20% to < 25%","Female divorced/separated/married","None","1 to < 4 years","Real estate",25,"None","Own","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Bad",1
"No checking account",24,"Critical account / other credits existing","Car (used)",3868,"< 100 DM",">= 7 years","< 20%","Female divorced/separated/married","None","1 to < 4 years","Car or other property",41,"None","Rent","2 to 3","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
"No checking account",12,"Existing credits paid back duly till now","Furniture / equipment",1768,"< 100 DM","1 to < 4 years","20% to < 25%","Male single","None","1 to < 4 years","Real estate",24,"None","Rent","1","Unskilled resident","0 to 2","None","Yes","Good",0
">= 200 DM / salary assignments for at least 1 year",10,"Critical account / other credits existing","Car (new)",781,"< 100 DM",">= 7 years","< 20%","Male single","None",">= 7 years","Unknown / no property",63,"None","For free","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",18,"Existing credits paid back duly till now","Furniture / equipment",1924,"Unknown / no savings account","< 1 year","< 20%","Female divorced/separated/married","None","4 to < 7 years","Real estate",27,"None","Rent","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"< 0 DM",12,"Critical account / other credits existing","Car (new)",2121,"< 100 DM","1 to < 4 years","< 20%","Male single","None","1 to < 4 years","Building society savings / life insurance",30,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"< 0 DM",12,"Existing credits paid back duly till now","Radio / television",701,"< 100 DM","1 to < 4 years","< 20%","Male married/widowed","None","1 to < 4 years","Real estate",40,"None","Own","1","Unskilled resident","0 to 2","None","Yes","Good",0
"0 to < 200 DM",12,"Existing credits paid back duly till now","Repairs",639,"< 100 DM","1 to < 4 years","< 20%","Male single","None","1 to < 4 years","Car or other property",30,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"0 to < 200 DM",12,"Critical account / other credits existing","Car (used)",1860,"< 100 DM","Unemployed","< 20%","Male single","None","1 to < 4 years","Car or other property",34,"None","Own","2 to 3","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
"< 0 DM",12,"Critical account / other credits existing","Car (new)",3499,"< 100 DM","1 to < 4 years","20% to < 25%","Female divorced/separated/married","Co-applicant","1 to < 4 years","Real estate",29,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Bad",1
"0 to < 200 DM",48,"Existing credits paid back duly till now","Car (new)",8487,"Unknown / no savings account","4 to < 7 years",">= 35% of disposable income","Female divorced/separated/married","None","1 to < 4 years","Car or other property",24,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"< 0 DM",36,"Delay in paying off in the past","Education",6887,"< 100 DM","1 to < 4 years","< 20%","Male single","None","4 to < 7 years","Building society savings / life insurance",29,"Stores","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Bad",1
"No checking account",15,"Existing credits paid back duly till now","Furniture / equipment",2708,"< 100 DM","< 1 year","25% to < 35%","Male single","None","4 to < 7 years","Building society savings / life insurance",27,"Bank","Own","2 to 3","Unskilled resident","0 to 2","None","Yes","Good",0
"No checking account",18,"Existing credits paid back duly till now","Furniture / equipment",1984,"< 100 DM","1 to < 4 years","< 20%","Male single","None",">= 7 years","Unknown / no property",47,"Bank","For free","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",60,"Existing credits paid back duly till now","Radio / television",10144,"100 to < 500 DM","4 to < 7 years","25% to < 35%","Female divorced/separated/married","None",">= 7 years","Real estate",21,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",12,"Critical account / other credits existing","Radio / television",1240,"Unknown / no savings account",">= 7 years","< 20%","Female divorced/separated/married","None","1 to < 4 years","Real estate",38,"None","Own","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",27,"Delay in paying off in the past","Car (used)",8613,">= 1000 DM","1 to < 4 years","25% to < 35%","Male single","None","1 to < 4 years","Car or other property",27,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",12,"Existing credits paid back duly till now","Radio / television",766,"500 to < 1000 DM","1 to < 4 years","< 20%","Male single","None","4 to < 7 years","Real estate",66,"None","Own","1","Unskilled resident","0 to 2","None","Yes","Bad",1
"0 to < 200 DM",15,"Critical account / other credits existing","Radio / television",2728,"Unknown / no savings account","4 to < 7 years","< 20%","Male single","Guarantor","1 to < 4 years","Real estate",35,"Bank","Own","4 to 5","Skilled employee / official","0 to 2","Yes","Yes","Good",0
">= 200 DM / salary assignments for at least 1 year",12,"Existing credits paid back duly till now","Radio / television",1881,"< 100 DM","1 to < 4 years","25% to < 35%","Female divorced/separated/married","None","1 to < 4 years","Car or other property",44,"None","Rent","1","Unskilled resident","0 to 2","Yes","Yes","Good",0
">= 200 DM / salary assignments for at least 1 year",6,"Existing credits paid back duly till now","Car (new)",709,">= 1000 DM","< 1 year","25% to < 35%","Male married/widowed","None","1 to < 4 years","Real estate",27,"None","Own","1","Unemployed / unskilled non-resident","0 to 2","None","No","Good",0
"0 to < 200 DM",36,"Existing credits paid back duly till now","Radio / television",4795,"< 100 DM","< 1 year","< 20%","Female divorced/separated/married","None","< 1 year","Unknown / no property",30,"None","Own","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
"< 0 DM",27,"Existing credits paid back duly till now","Radio / television",3416,"< 100 DM","1 to < 4 years","20% to < 25%","Male single","None","1 to < 4 years","Car or other property",27,"None","Own","1","Manager / self-employed / highly qualified","0 to 2","None","Yes","Good",0
"< 0 DM",18,"Existing credits paid back duly till now","Furniture / equipment",2462,"< 100 DM","1 to < 4 years","25% to < 35%","Male single","None","1 to < 4 years","Car or other property",22,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"No checking account",21,"Critical account / other credits existing","Furniture / equipment",2288,"< 100 DM","< 1 year","< 20%","Female divorced/separated/married","None",">= 7 years","Building society savings / life insurance",23,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",48,"All credits at this bank paid back duly","Business",3566,"100 to < 500 DM","4 to < 7 years","< 20%","Male single","None","1 to < 4 years","Car or other property",30,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"< 0 DM",6,"Critical account / other credits existing","Car (new)",860,"< 100 DM",">= 7 years",">= 35% of disposable income","Female divorced/separated/married","None",">= 7 years","Unknown / no property",39,"None","Own","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",12,"Critical account / other credits existing","Car (new)",682,"100 to < 500 DM","4 to < 7 years","< 20%","Female divorced/separated/married","None","4 to < 7 years","Car or other property",51,"None","Own","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"< 0 DM",36,"Critical account / other credits existing","Furniture / equipment",5371,"< 100 DM","1 to < 4 years","20% to < 25%","Male single","Guarantor","1 to < 4 years","Building society savings / life insurance",28,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",18,"Critical account / other credits existing","Radio / television",1582,">= 1000 DM",">= 7 years","< 20%","Male single","None",">= 7 years","Car or other property",46,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",6,"Existing credits paid back duly till now","Radio / television",1346,"100 to < 500 DM",">= 7 years","25% to < 35%","Male single","None",">= 7 years","Unknown / no property",42,"Bank","For free","1","Skilled employee / official","3 or more","Yes","Yes","Good",0
"No checking account",10,"Existing credits paid back duly till now","Radio / television",1924,"< 100 DM","1 to < 4 years",">= 35% of disposable income","Male single","None",">= 7 years","Building society savings / life insurance",38,"None","Own","1","Skilled employee / official","0 to 2","Yes","No","Good",0
">= 200 DM / salary assignments for at least 1 year",36,"Existing credits paid back duly till now","Radio / television",5848,"< 100 DM","1 to < 4 years","< 20%","Male single","None","< 1 year","Car or other property",24,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",24,"Critical account / other credits existing","Car (used)",7758,">= 1000 DM",">= 7 years","25% to < 35%","Female divorced/separated/married","None",">= 7 years","Unknown / no property",29,"None","Rent","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",24,"Delay in paying off in the past","Business",6967,"100 to < 500 DM","4 to < 7 years","< 20%","Male single","None",">= 7 years","Car or other property",36,"None","Rent","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
"< 0 DM",12,"Existing credits paid back duly till now","Furniture / equipment",1282,"< 100 DM","1 to < 4 years","25% to < 35%","Female divorced/separated/married","None",">= 7 years","Car or other property",20,"None","Rent","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"< 0 DM",9,"Critical account / other credits existing","Repairs",1288,"100 to < 500 DM",">= 7 years","20% to < 25%","Male single","Guarantor",">= 7 years","Real estate",48,"None","Own","2 to 3","Skilled employee / official","3 or more","None","No","Good",0
"< 0 DM",12,"All credits at this bank paid back duly","Retraining",339,"< 100 DM",">= 7 years","< 20%","Male married/widowed","None","< 1 year","Car or other property",45,"Bank","Own","1","Unskilled resident","0 to 2","None","Yes","Good",0
